domain,original_url,redirected_url
m.youtube.com,https://m.youtube.com/watch?v=91Ib5NjSZ-o,https://www.youtube.com/watch?app=desktop&v=91Ib5NjSZ-o
dailyexpose.uk,https://dailyexpose.uk/2022/01/31/high-excess-deaths-worldwide-linked-to-covid-vaccine/,https://dailyexpose.uk/2022/01/31/high-excess-deaths-worldwide-linked-to-covid-vaccine/
rumble.com,https://rumble.com/vp4i7h-dr.-frank-epic-interview-with-pete-santilli-november-12-2021.html,https://rumble.com/vp4i7h-dr.-frank-epic-interview-with-pete-santilli-november-12-2021.html
youtu.be,https://youtu.be/gmOkZ-nBiN8,https://www.youtube.com/watch?v=gmOkZ-nBiN8&feature=youtu.be
rumble.com,https://rumble.com/vu2o9o-cnn-lou-dobbs-voting-machines-put-u.s.-democracy-at-risk-september-21-2006.html?mref=6zof&mc=dgip3&utm_source=newsletter&utm_medium=email&utm_campaign=KanekoaTheGreat&ep=2,https://rumble.com/vu2o9o-cnn-lou-dobbs-voting-machines-put-u.s.-democracy-at-risk-september-21-2006.html?mref=6zof&mc=dgip3&utm_source=newsletter&utm_medium=email&utm_campaign=KanekoaTheGreat&ep=2
rumble.com,https://rumble.com/vva2j9-now-in-canada.html,https://rumble.com/vva2j9-now-in-canada.html
harpers.org,https://harpers.org/archive/2012/11/how-to-rig-an-election/,https://harpers.org/archive/2012/11/how-to-rig-an-election/
kanekoa.substack.com,https://kanekoa.substack.com/p/the-powerful-pfizer-presentation,https://kanekoa.substack.com/p/the-powerful-pfizer-presentation
www.salon.com,https://www.salon.com/2013/10/24/atm_company_diebold_charged_with_bribery_falsifying_docs/,https://www.salon.com/2013/10/24/atm_company_diebold_charged_with_bribery_falsifying_docs/
m.theepochtimes.com,https://m.theepochtimes.com/mkt_breakingnews/judge-pauses-chicago-vaccine-mandate-deadline-for-police_4080960.html?utm_source=News&utm_medium=email&utm_campaign=breaking-2021-11-02-1&mktids=0279d4d0c41378b75c2d8bb7535ad5a0&est=9SLeRm4KjJwZs%2BG0L3FusgVf7%2BYzs%2B4MOf2LljWlExp4bJHNtRfO7ne36otEsH36VgrPcG8%3D,https://www.theepochtimes.com/mkt_breakingnews/judge-pauses-chicago-vaccine-mandate-deadline-for-police_4080960.html?utm_source=News&utm_medium=email&utm_campaign=breaking-2021-11-02-1&mktids=0279d4d0c41378b75c2d8bb7535ad5a0&est=9SLeRm4KjJwZs%2BG0L3FusgVf7%2BYzs%2B4MOf2LljWlExp4bJHNtRfO7ne36otEsH36VgrPcG8%3D
www.pattyporter.net,https://www.pattyporter.net/?wix-vod-comp-id=comp-kqcru8rg,https://www.pattyporter.net/?wix-vod-comp-id=comp-kqcru8rg
rumble.com,https://rumble.com/vop237-winsome-sears-makes-history-as-first-lieutenant-governor-woman-of-colour-in.html,https://rumble.com/vrb873-they-call-me-ishmael-by-john-d.-kuhns.html
independentside.com,https://independentside.com/dr-robert-malone-on-dr-fauci-tony-has-no-integrity-he-lies-all-the-time-its-tony-video/,https://independentside.com/dr-robert-malone-on-dr-fauci-tony-has-no-integrity-he-lies-all-the-time-its-tony-video/
www.bradblog.com,https://www.bradblog.com/?p=1839,https://www.bradblog.com/?p=1839
technofog.substack.com,https://technofog.substack.com/p/is-the-fda-about-to-approve-an-experimental,https://technofog.substack.com/p/is-the-fda-about-to-approve-an-experimental
youtu.be,https://youtu.be/pzEucdnW7vQ,https://www.youtube.com/watch?v=pzEucdnW7vQ&feature=youtu.be
alexberenson.substack.com,https://alexberenson.substack.com/p/vaccinated-english-adults-under-60?r=m7jq6&fbclid=IwAR3CkfYQ66OtnZeQibsm21tgFjZpMmOZpLX3gsmC3JhQMMVfADgksHjyCLA,https://alexberenson.substack.com/p/vaccinated-english-adults-under-60?r=m7jq6&fbclid=IwAR3CkfYQ66OtnZeQibsm21tgFjZpMmOZpLX3gsmC3JhQMMVfADgksHjyCLA
t.me,http://t.me/covidtruthnet,https://t.me/covidtruthnet
gettr.com,https://gettr.com/post/pqjs5r5c6e,https://gettr.com/post/pqjs5r5c6e
www.theguardian.com,https://www.theguardian.com/world/2022/feb/20/canadian-police-ottawa-truckers-protest,https://www.theguardian.com/world/2022/feb/20/canadian-police-ottawa-truckers-protest
rumble.com,https://rumble.com/vq4uhv-nigerian-osundairo-brothers-testify-against-smollett-for-orchestrating-hate.html?mref=6zof&mc=dgip3&utm_source=newsletter&utm_medium=email&utm_campaign=The+Gateway+Pundit&ep=1,https://rumble.com/vq4uhv-nigerian-osundairo-brothers-testify-against-smollett-for-orchestrating-hate.html?mref=6zof&mc=dgip3&utm_source=newsletter&utm_medium=email&utm_campaign=The+Gateway+Pundit&ep=1
apne.ws,http://apne.ws/oKuGhDl,https://apnews.com/article/russia-ukraine-ian-kelly-europe-moscow-russia-4bf5d42906c582c36972b076e73c430f?utm_source=Twitter&utm_campaign=SocialFlow&utm_medium=AP
t.me,https://t.me/TruckersForFreedomGlobal,https://t.me/TruckersForFreedomGlobal
gettr.com,https://gettr.com/post/pttb0te4d2,https://gettr.com/post/pttb0te4d2
nypost.com,https://nypost.com/2021/10/28/florida-gov-ron-desantis-has-shown-how-to-handle-covid-19/,https://nypost.com/2021/10/28/florida-gov-ron-desantis-has-shown-how-to-handle-covid-19/
gettr.com,https://gettr.com/post/prqwi007f5,https://gettr.com/post/prqwi007f5
www.reuters.com,https://www.reuters.com/business/healthcare-pharmaceuticals/ireland-set-rapidly-drop-almost-all-covid-19-restrictions-2022-01-21/,https://www.reuters.com/business/healthcare-pharmaceuticals/ireland-set-rapidly-drop-almost-all-covid-19-restrictions-2022-01-21/
www.newyorker.com,https://www.newyorker.com/news/daily-comment/russia-and-china-unveil-a-pact-against-america-and-the-west,https://www.newyorker.com/news/daily-comment/russia-and-china-unveil-a-pact-against-america-and-the-west
